Country Code,Country Name,Region Name,Income Group,2006,2007,2008,2009,2010,2011
MDA,Moldova,Europe,Lower middle,4.79999985009476,3.00000023969456,7.80000014465953,-6.00000028938908,7.10000008379275,5.81816621889406
MCO,Monaco,Europe,High,5.80393763599388,14.4288980284652,0.666835003324323,-11.2999994641996,2.09999905006846,7.00000002385623
MNG,Mongolia,Asia,Lower middle,8.55623480959571,10.2480163584778,8.90036794671727,-1.26859894053509,6.36516168486143,17.2907775836263
MNE,Montenegro,Europe,Upper middle,8.56641802964207,6.81015012526991,7.22275259212526,-5.79509699477244,2.73433108233829,3.22845102061061
MAR,Morocco,Africa,Lower middle,7.57463164458541,3.53159415154489,5.92327768597593,4.24375732083367,3.8157179167666,5.24569729729485
MOZ,Mozambique,Africa,Low,9.69437409174286,7.7297462424838,7.31775532393037,6.31819723248903,6.50235311519791,7.41738431559391
MMR,Myanmar,Asia,Low,13.30686930826,12.5004862939068,11.0742676521013,10.4098444030112,10.0692860939855,7.52005722724248
NAM,Namibia,Africa,Upper middle,7.07317531845825,5.37404415167634,2.64981203780268,0.295970914001089,6.03924947955858,5.09133813864338
NPL,Nepal,Asia,Low,3.36461478734068,3.41156027455769,6.1046391472948,4.53307872121162,4.81641465118577,3.42182823752086
NLD,Netherlands,Europe,High,3.46098895411502,3.77284252073882,2.17032485133603,-3.66688393735825,1.34273933636553,1.55118931244651
NZL,New Zealand,Oceania,High,2.88106230252933,3.02816048935487,-1.11152307640903,-0.13517017562981,1.523877570677,2.25175863315354
NIC,Nicaragua,Americas,Lower middle,4.15319956587842,5.07670170064878,3.43637382878192,-3.29278961915749,4.40964549908733,6.31747638326586
NER,Niger,Africa,Low,5.93104997350342,3.14272408386731,7.73141422777337,1.96260090694645,8.57816674262253,2.35775693603874
NGA,Nigeria,Africa,Lower middle,6.05942803125548,6.59113036073542,6.764472777848,8.03692510189684,8.00565591528178,5.30792420366642
MKD,North Macedonia,Europe,Upper middle,5.13702516153505,6.47348685752347,5.47200139015595,-0.358614856979671,3.35875085773812,2.33988604520331
MNP,Northern Mariana Islands,Oceania,High,-6.87146321746161,-6.68402777777779,-11.0697674418605,-17.5732217573222,1.3959390862944,-7.38423028785982
NOR,Norway,Europe,High,2.39982842629603,2.99428771442589,0.476345013071636,-1.72702030948713,0.701833823862358,0.981434478585356
OMN,Oman,Asia,High,5.3718888740982,4.45268356538111,8.20007815759141,6.1123956079346,1.71398531148034,2.89460973541192
PAK,Pakistan,Asia,Lower middle,5.89898444157643,4.83281727691724,1.70140546555248,2.83165851919782,1.60668862898785,2.74840591749019
PLW,Palau,Oceania,Upper middle,-0.405643640893601,2.02114170886298,-5.78191142133305,-6.59047260534193,0.21609349236023,6.68366753808544
PAN,Panama,Americas,Upper middle,8.65246561056669,11.9839853947871,9.85565485158463,1.24299231776419,5.82799349428571,11.3136259097046
PNG,Papua New Guinea,Oceania,Lower middle,5.40994409107307,7.81518922862388,-0.296457845880582,6.80042148322096,10.1284540720232,1.10754362619616
PRY,Paraguay,Americas,Lower middle,4.80711719268376,5.42162287218235,6.4962921197091,-0.261137328080281,11.0952312685521,4.28637120702282
PER,Peru,Americas,Upper middle,7.5288990440594,8.5183877690955,9.1265683014642,1.0958236592427,8.33245910749577,6.32719240161117
PHL,Philippines,Asia,Lower middle,5.31641682136939,6.51929155018938,4.34448730509183,1.44832306275669,7.33449996034538,3.85823282795663
POL,Poland,Europe,Upper middle,6.13113645855509,7.06153463356746,4.19998126444942,2.83218405318897,2.93463818052832,5.04218788292943
PRT,Portugal,Europe,High,1.62503417629674,2.50657964551773,0.319247925063081,-3.12207942033321,1.73762547590566,-1.69616478061504
PRI,Puerto Rico,Americas,High,-1.40941402442895,-1.16280669029354,-1.8441342497794,-1.9524251417231,-0.413254118484915,-0.358510628287519
QAT,Qatar,Asia,High,26.1702456703032,17.9856568160263,17.6635563626089,11.9565611289086,19.5923315337859,13.3751764107929
ROU,Romania,Europe,Upper middle,8.02881107599163,7.23380774362805,9.30746717077338,-5.51739440805439,-3.90123628018621,4.51708696433914
RUS,Russian Federation,Europe,Upper middle,8.200068255056,8.49997776846357,5.19996926498843,-7.79999391343111,4.50000000003065,4.3000291857941
RWA,Rwanda,Africa,Low,9.22704757865398,7.63331106131572,11.161243240151,6.24825992909668,7.33465610774428,7.95838571877225
