Eruption Number,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Evidence Type,Evidence Method
15560,Dempo,Confirmed,0.0,1905,,,,,,Observations,Reported
16187,Batur,Confirmed,2.0,1905,,,,,,Observations,Reported
14094,Nyiragongo,Confirmed,1.0,1905,,,,,,Observations,Reported
13568,Tongariro,Confirmed,2.0,1905,,,,,,Observations,Reported
11587,Cotopaxi,Confirmed,2.0,1905,,,,,,Observations,Reported
12209,Puyehue-Cordon Caulle,Confirmed,2.0,1905,,,,,,Observations,Reported
13567,Tongariro,Confirmed,2.0,1904,11.0,22.0,,,,Observations,Reported
18446,Fukutoku-Oka-no-Ba,Confirmed,3.0,1904,11.0,14.0,1905.0,5.0,16.0,Observations,Reported
13930,Erta Ale,Uncertain,2.0,1904,11.0,1.0,,,,Uncertain,Unspecified
14903,Manam,Confirmed,3.0,1904,10.0,26.0,1904.0,10.0,27.0,Observations,Reported
16467,Mahawu,Confirmed,2.0,1904,10.0,4.0,,,,Observations,Reported
16549,Banua Wuhu,Confirmed,2.0,1904,8.0,27.0,,,,Observations,Reported
14311,"Fournaise, Piton de la",Confirmed,2.0,1904,8.0,19.0,1904.0,10.0,17.0,Observations,Reported
15081,Lolobau,Confirmed,4.0,1904,8.0,9.0,1905.0,10.0,18.0,Observations,Reported
17766,Asamayama,Confirmed,2.0,1904,8.0,4.0,1904.0,8.0,4.0,Observations,Reported
15740,Slamet,Confirmed,2.0,1904,7.0,14.0,1904.0,8.0,9.0,Observations,Reported
16378,Teon,Confirmed,2.0,1904,6.0,3.0,,,,Observations,Reported
11021,Masaya,Confirmed,2.0,1904,5.0,,1904.0,6.0,,Observations,Reported
16485,Ruang,Confirmed,3.0,1904,4.0,22.0,1905.0,5.0,27.0,Observations,Reported
15439,Marapi,Confirmed,1.0,1904,4.0,18.0,1904.0,4.0,18.0,Observations,Reported
16548,Banua Wuhu,Confirmed,2.0,1904,4.0,17.0,1904.0,4.0,18.0,Observations,Reported
18963,Mutnovsky,Confirmed,2.0,1904,4.0,2.0,1904.0,6.0,26.0,Observations,Reported
16851,Taal,Confirmed,1.0,1904,4.0,,1904.0,7.0,15.0,Observations,Reported
14046,Nyamulagira,Confirmed,2.0,1904,4.0,,1904.0,5.0,16.0,Observations,Reported
14194,Karthala,Confirmed,2.0,1904,2.0,25.0,1904.0,4.0,,Observations,Reported
19431,Klyuchevskoy,Confirmed,2.0,1904,1.0,31.0,1904.0,6.0,14.0,Observations,Reported
10690,Santa Ana,Confirmed,2.0,1904,1.0,12.0,1904.0,1.0,26.0,Observations,Reported
13574,Semeru,Confirmed,2.0,1904,1.0,2.0,1904.0,1.0,16.0,Observations,Reported
16186,Batur,Confirmed,2.0,1904,,,,,,Observations,Reported
16311,Iliboleng,Confirmed,2.0,1904,,,,,,Observations,Reported
16728,Kanlaon,Confirmed,2.0,1904,,,,,,Observations,Reported
14005,"Lengai, Ol Doinyo",Confirmed,0.0,1904,,,,,,Observations,Reported
19299,Tolbachik,Confirmed,2.0,1904,,,,,,Observations,Reported
19717,Kanaga,Confirmed,0.0,1904,,,,,,Observations,Reported
10457,Colima,Confirmed,1.0,1904,,,1906.0,,,Observations,Reported
12138,Villarrica,Confirmed,2.0,1904,,,,,,Observations,Reported
11733,Santiago,Confirmed,0.0,1904,,,1906.0,12.0,15.0,Observations,Reported
16379,Nila,Confirmed,2.0,1903,12.0,8.0,,,,Observations,Reported
16121,Raung,Confirmed,2.0,1903,11.0,28.0,1904.0,1.0,,Observations,Reported
10073,Kilauea,Confirmed,0.0,1903,11.0,25.0,1904.0,1.0,10.0,Observations,Reported
10809,Izalco,Confirmed,2.0,1903,11.0,,1905.0,3.0,,Observations,Reported
15802,Sundoro,Confirmed,2.0,1903,10.0,17.0,1903.0,10.0,21.0,Observations,Reported
11586,Cotopaxi,Confirmed,3.0,1903,9.0,26.0,1904.0,12.0,,Observations,Reported
10213,Mauna Loa,Confirmed,0.0,1903,9.0,1.0,1903.0,12.0,7.0,Observations,Reported
17153,Kirishimayama,Confirmed,2.0,1903,8.0,29.0,1903.0,11.0,25.0,Observations,Reported
17765,Asamayama,Uncertain,2.0,1903,5.0,28.0,1903.0,6.0,30.0,Uncertain,Unspecified
12042,Llaima,Confirmed,2.0,1903,5.0,12.0,1903.0,5.0,14.0,Observations,Reported
16850,Taal,Confirmed,2.0,1903,4.0,,,,,Observations,Reported
13573,Semeru,Confirmed,2.0,1903,3.0,26.0,1903.0,6.0,,Observations,Reported
16917,Io-Torishima,Confirmed,2.0,1903,3.0,15.0,1903.0,8.0,26.0,Observations,Reported
10456,Colima,Confirmed,3.0,1903,2.0,15.0,1903.0,10.0,30.0,Observations,Reported
13154,Erebus,Confirmed,0.0,1903,1.0,1.0,,,,Observations,Reported
11951,"Azul, Cerro",Uncertain,2.0,1903,1.0,,,,,Uncertain,Unspecified
12366,Soufriere Guadeloupe,Uncertain,2.0,1903,,,,,,Uncertain,Unspecified
10625,Santa Maria,Confirmed,2.0,1903,,,1913.0,,,Observations,Reported
14310,"Fournaise, Piton de la",Confirmed,0.0,1903,,,,,,Observations,Reported
13929,Erta Ale,Uncertain,2.0,1903,,,,,,Uncertain,Unspecified
14615,Ruapehu,Confirmed,2.0,1903,,,,,,Observations,Reported
15367,Hunter Island,Confirmed,0.0,1903,,,,,,Observations,Reported
15891,Merapi,Confirmed,2.0,1902,12.0,,1904.0,6.0,20.0,Observations,Reported
12823,Thordarhyrna,Confirmed,4.0,1902,12.0,,1904.0,1.0,12.0,Observations,Reported
12885,Bardarbunga,Confirmed,2.0,1902,12.0,,1903.0,6.0,,Uncertain,Unspecified
14815,Savaii,Confirmed,1.0,1902,10.0,30.0,1902.0,11.0,17.0,Observations,Reported
10624,Santa Maria,Confirmed,6.0,1902,10.0,24.0,1902.0,11.0,12.0,Observations,Reported
14309,"Fournaise, Piton de la",Confirmed,2.0,1902,8.0,13.0,1902.0,8.0,18.0,Observations,Reported
18368,Izu-Torishima,Confirmed,3.0,1902,8.0,7.0,1902.0,8.0,24.0,Observations,Reported
17764,Asamayama,Confirmed,2.0,1902,8.0,5.0,1902.0,8.0,20.0,Observations,Reported
17827,Kusatsu-Shiranesan,Confirmed,1.0,1902,7.0,15.0,1902.0,9.0,24.0,Observations,Reported
20413,Wrangell,Confirmed,2.0,1902,7.0,15.0,,,,Observations,Reported
11020,Masaya,Confirmed,2.0,1902,7.0,15.0,1903.0,11.0,,Observations,Reported
11092,Rincon de la Vieja,Uncertain,2.0,1902,6.0,22.0,,,,Uncertain,Unspecified
10072,Kilauea,Confirmed,0.0,1902,6.0,3.0,1903.0,3.0,5.0,Observations,Reported
11801,Tutupaca,Uncertain,2.0,1902,6.0,,1902.0,11.0,,Observations,Reported
10808,Izalco,Confirmed,2.0,1902,5.0,10.0,1902.0,12.0,30.0,Observations,Reported
12995,Sao Jorge,Confirmed,0.0,1902,5.0,7.0,1902.0,5.0,8.0,Observations,Reported
12453,Soufriere St. Vincent,Confirmed,4.0,1902,5.0,6.0,1903.0,3.0,30.0,Observations,Reported
